Entry,Name,Description,Object,Legend
hsa00470,D-Amino acid metabolism,,C00064 (L-Glutamine) C00819 (D-Glutamine) C03933 (5-D-Glutamyl-D-glutamyl-peptide) C00025 (L-Glutama...,D-AMINO ACID METABOLISM 2.3.2.1 4.2.1.48 1.4.3.7 5.1.1.3 3.5.1.38 3.5.1.35 3.5.1.2 L-Glutamine D-Gl...
hsa00480,Glutathione metabolism,,C00024 (Acetyl-CoA) C00151 (L-Amino acid) C01879 (5-Oxoproline) C00097 (L-Cysteine) C00025 (L-Glutam...,Acetyl-CoA GLUTATHIONE METABOLISM Glutamate metabolism Taurine and hypotaurine metabolism Cyanoami...
hsa00500,Starch and sucrose metabolism,,C00092 (D-Glucose 6-phosphate) C00092 (D-Glucose 6-phosphate) C00095 (D-Fructose) C05731 (3-Ketosucr...,3.6.1.- D-Glucose-6P 3.2.1.21 3.2.1.21 2.7.1.1 3.2.1.122 STARCH AND SUCROSE METABOLISM 3.2.1.26 2...
hsa00510,N-Glycan biosynthesis,N-glycans or asparagine-linked glycans are major constituents of glycoproteins in eukaryotes. N-glyc...,G10596 G00022 G00021 G00020 G00019 G00018 (DS 3) G00017 G00016 G00015 G00014 G00013 G00012 G00011 G0...,ALG14 DPM3 DPM2 Various types of N-glycan biosynthesis ALG6 ALG12 ALG9 ALG3 N-glycan degradation MGA...
hsa00511,Other glycan degradation,,"10825 (NEU3), 129807 (NEU4), 4758 (NEU1), 4759 (NEU2) 2720 (GLB1) 23324 (MAN2B2), 4123 (MAN2C1), 412...",OTHER GLYCAN DEGRADATION GlcNAc GlcNAc Fuc Neu5Ac Gal Asn Man GlcNAc Neu5Ac Gal Man GlcNAc Man Glc...
hsa00512,Mucin type O-glycan biosynthesis,O-glycans are a class of glycans that modify serine or threonine residues of proteins. Biosynthesis ...,G00034 G00033 G00032 G00031 G00030 G00029 G00028 G00027 G00026 G00025 G00023 (Tn antigen) G00035 (Si...,Keratan sulfate biosynthesis Core 8 Core 7 (F1α) Core 6 Core 5 Core 4 Core 3 (disialyl-T antigen) (s...
hsa00513,Various types of N-glycan biosynthesis,,G11040 G10841 G01813 G12625 G12626 G00012 G00011 G13047 G13048 G13049 G13050 G00016 G00017 G10716 G1...,MNN1 N-Glycan biosynthesis MNN9 ANP1 MNN2 MNN1 MNN6 MNN11 VAN1 MAN1A MNN9 OCH1 MNN5 HOC1 MNN10 VARIO...
hsa00514,Other types of O-glycan biosynthesis,"O-linked glycosylation is the attachment of monosaccharides to the hydroxyl groups of amino acids, m...","23127 (COLGALT2), 79709 (COLGALT1), 8985 (PLOD3) 145173 (B3GLCT) 8985 (PLOD3) 6480 (ST6GAL1), 6487 (...",OTHER TYPES OF O-GLYCAN BIOSYNTHESIS Glc Hydroxylysine Glc Gal O-linked Gal type O-linked GlcNAc...
hsa00515,Mannose type O-glycan biosynthesis,Biosynthesis of mammalian O-mannosyl glycans is initiated by the transfer of mannose from mannose-P-...,C02189 ([Protein]-L-serine) G10617 (Dolichyl phosphate D-mannose) G13082 G13027 G13026 G13085 G13088...,2.4.1.- -Ser/Thr-peptide Manβ-P-Dol 2.4.1.109 POMT1/POMT2 2.4.1.- GalT POMGNT1 2.4.3.6 2.4.1.135 Sia...
hsa00520,Amino sugar and nucleotide sugar metabolism,,C00357 (N-Acetyl-D-glucosamine 6-phosphate) C00140 (N-Acetyl-D-glucosamine) C04501 (N-Acetyl-alpha-D...,2.7.1.59 5.4.2.3 2.7.7.23 3.2.1.183 2.7.1.60 2.5.1.57 3.1.3.29 3.5.99.6 3.5.1.25 5.4.2.10 2.3.1.157 ...
hsa00524,"Neomycin, kanamycin and gentamicin biosynthesis",,C00031 (D-Glucose) C00092 (D-Glucose 6-phosphate) C17209 (2-Deoxy-scyllo-inosose) C17580 (2-Deoxy-sc...,"NEOMYCIN, KANAMYCIN AND GENTAMICIN BIOSYNTHESIS D-Glucose D-Glucose-6P 2-Deoxy-scyllo-inosose 2-..."
hsa00531,Glycosaminoglycan degradation,,G01391 G13074 G13073 G01977 G01945 G02632 G09660 G13040 G13039 G13038 G13037 G13036 G13035 G13034 G0...,3.10.1.1 HPSE2 HPSE Heparan sulfate biosynthesis Keratan sulfate biosynthesis Chondroitin sulfate bi...
hsa00532,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,Glycosaminoglycans (GAGs) are linear polysaccharide chains consisting of repeating disaccharide unit...,"C00054 (Adenosine 3',5'-bisphosphate) C00053 (3'-Phosphoadenylyl sulfate) G00160 G00159 G00158 G0015...",PAP PAPS 2.4.1.135 2.4.2.26 2.4.1.133 GLYCOSAMINOGLYCAN BIOSYNTHESIS - CHONDROITIN SULFATE / DERMA...
hsa00533,Glycosaminoglycan biosynthesis - keratan sulfate,"Keratan sulfate (KS) is a glycosaminoglycan with the basic disaccharide unit of N-acetyllactosamine,...","10678 (B3GNT2) 2683 (B4GALT1), 8703 (B4GALT3), 8704 (B4GALT2) 6487 (ST3GAL3) 2683 (B4GALT1), 8703 (B...",Keratan sulfate II (KSII) O-Glycan biosynthesis GLYCOSAMINOGLYCAN BIOSYNTHESIS - KERATAN SULFATE K...
hsa00534,Glycosaminoglycan biosynthesis - heparan sulfate / heparin,Heparan sulfate (HS) and heparin (Hep) are glycosaminoglycans with repeating disaccharide units that...,"G00164 G00163 G00162 G00157 C00054 (Adenosine 3',5'-bisphosphate) G00156 G00155 G00154 C02189 ([Prot...","2.4.1.223 EXTL2,3 EXTL1,3 EXT1,2 EXT1,2 GlcNAc GlcNAc GlcA GlcA Gal Gal Xyl Ser EXT1,2 EXTL1,3 XYLT..."
hsa00561,Glycerolipid metabolism,,"C00422 (Triacylglycerol) C00641 (1,2-Diacyl-sn-glycerol) C00111 (Glycerone phosphate) C00093 (sn-Gly...",2.3.1.158 SQD1 SQD2 2.4.1.241 2.4.3.5 Glycerophospholipid metabolism 3.1.1.3 2.3.1.20 2.4.1.46 2.4.1...
hsa00562,Inositol phosphate metabolism,,"C11557 (1-Phosphatidyl-1D-myo-inositol 5-phosphate) C11555 (1D-myo-Inositol 1,4,5,6-tetrakisphosphat...","1-Phosphatidyl-1D-myo-inositol-5P 2.7.1.149 1D-myo-Inositol- 1,4,5,6P 3.1.3.36 2.7.1.151 2.7.1.151 3..."
hsa00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,Cell surface proteins can be attached to the cell membrane via the glycolipid structure called glyco...,G13150 G12396 (6-(alpha-D-glucosaminyl)-1D-myo-inositol) G00145 G00143 G00144 G00146 G13151 G13128 C...,PIG-Y DPM2 PIG-Q PIG-P PIG-H PIG-C PIG-X PIG-U PIG-T PIG-S 6-(α-D-Glucosaminyl)-1D-myo-inositol PIG-...
hsa00564,Glycerophospholipid metabolism,,"C06771 (Triethanolamine) C06772 (Diethanolamine) C00084 (Acetaldehyde) C00641 (1,2-Diacyl-sn-glycero...",Ether lipid metaboilsm 2.7.8.29 Ptdss1 Glycolysis 1.1.3.21 GPI-anchor biosynthesis Triethanolamine D...
hsa00565,Ether lipid metabolism,,C15647 (2-Acyl-1-(1-alkenyl)-sn-glycero-3-phosphate) C15646 (1-(1-Alkenyl)-sn-glycero-3-phosphate) C...,2-Acyl-1-(1-alkenyl)-sn-glycero-3-phosphate (Plasmenic acid) 1-(1-Alkenyl)-sn-glycero-3-phosphate 1-...
hsa00590,Arachidonic acid metabolism,,C03577 (20-Hydroxyleukotriene E4) C14811 (Trioxilin B3) C14809 (Trioxilin A3) C14810 (Hepoxilin B3) ...,Eicosanoids 3.3.2.10 3.3.2.10 3.3.2.10 3.3.2.10 1.14.13.34 20-OH-LTE Trioxilin B Trioxilin A Hepoxil...
hsa00591,Linoleic acid metabolism,,"C04717 ((9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoic acid) C14833 (9,12,13-TriHOME) C14832 (12...","3.3.2.- 3.3.2.- CYP1A2 13(S)-HPODE 9,12,13-TriHOME 12,13-Epoxy-9-hydroxy-10-octadecenoate 9-OxoODE 1..."
hsa00592,alpha-Linolenic acid metabolism,,C11512 (Methyl jasmonate) C16318 ((+)-7-Isomethyljasmonate) C08491 ((-)-Jasmonic acid) C16317 ((+)-7...,MFP2 MFP2 MFP2 HPL1 ACX ACX 2.3.1.16 2.3.1.16 4.2.1.92 1.13.11.12 (-)-Methyl-jasmonate (+)-7-Isometh...
hsa00600,Sphingolipid metabolism,,C00836 (Sphinganine) C12144 (Phytosphingosine) C12145 (Phytoceramide) C12126 (Dihydroceramide) C0129...,YDC1 YPC1 2.7.8.3 3.1.3.- 3.1.3.- 3.1.3.- 3.5.1.23 3.5.1.23 CERS 1.14.19.17 LAG1 1.14.18.5 1.14.18.5...
hsa00601,Glycosphingolipid biosynthesis - lacto and neolacto series,,"G00078 (iso-nLc8Cer) G00057 G00090 (V3Fuc,III3Fuc-nLc6Cer) G00091 G00089 (V3Fuc-nLc6Cer) G00088 (VI3...",2.4.1.152 2.4.1.152 2.4.1.152 2.4.1.152 2.4.1.- 2.4.1.65 2.4.1.65 2.4.1.65 2.4.1.65 2.4.1.65 B4GALT4...
hsa00603,Glycosphingolipid biosynthesis - globo and isoglobo series,,G00181 (Disialosylglobopentaosylceramide) G00096 (IV3GalNAcb-Gb4Cer) G00100 (V3(NeuAc)2-Gb5Cer) G001...,2.4.3.2 (SSEA-4) (SSEA-3) B3GALT5 2.4.1.- 3.2.1.49 2.4.1.228 Globoside (P antigen) 3.2.1.52 2.4.1.- ...
hsa00604,Glycosphingolipid biosynthesis - ganglio series,,G00129 (GQ1balpha) G00128 (GT1aalpha) G00127 (GD1a) G00132 (GD1beta) G00131 (GM1alpha) G00130 (GM2al...,2.4.3.2 3.2.1.23 3.2.1.52 Siat8a GQ1bα GT1aα GD1α GD1β GM1α GM2α O-Acetylated GT3 GP1c GQ1c GT1c GT2...
hsa00620,Pyruvate metabolism,,C15973 (Enzyme N6-(dihydrolipoyl)lysine) C15972 (Enzyme N6-(lipoyl)lysine) C16255 ([Dihydrolipoyllys...,"PYRUVATE METABOLISM Nicotinate and nicotinamide metabolism 1.2.4.1 Citrate cycle Glycine, serine an..."
hsa00630,Glyoxylate and dicarboxylate metabolism,,"C00898 ((R,R)-Tartaric acid) C00036 (Oxaloacetate) C00158 (Citrate) C00149 ((S)-Malate) C04348 (L-Ma...",5.3.1.22 4.2.1.3 2.2.1.5 2.3.3.12 2.3.3.7 4.1.3.13 4.1.3.16 4.1.3.1 3.5.1.68 3.5.1.56 3.5.1.49 3.5.1...
hsa00640,Propanoate metabolism,,C00222 (3-Oxopropanoate) C00804 (Propynoate) C01013 (3-Hydroxypropanoate) C00099 (beta-Alanine) C000...,PROPANOATE METABOLISM 1.2.1.18 2.1.3.1 6.4.1.2 4.1.1.9 1.2.1.75 2.6.1.18 2.6.1.19 1.1.1.59 4.2.1.27...
hsa00650,Butanoate metabolism,,"C03046 ((S,S)-Butane-2,3-diol) C01769 ((S)-Acetoin) C00810 ((R)-Acetoin) C03044 ((R,R)-Butane-2,3-di...",Biosynthesis of type II polyketide backbone 4.2.1.27 1.1.1.30 3.1.1.22 2.8.3.5 6.2.1.16 4.1.3.4 2.3....
hsa00670,One carbon pool by folate,,"C00504 (Folate) C00415 (Dihydrofolate) C03479 (Folinic acid) C00143 (5,10-Methylenetetrahydrofolate)...",ONE CARBON POOL BY FOLATE Folate biosynthesis 2.1.2.5 2.1.2.4 2.1.2.2 4.3.1.4 1.5.1.15 1.5.1.3 1...
hsa00730,Thiamine metabolism,,C00082 (L-Tyrosine) C15809 (Iminoglycine) C11437 (1-Deoxy-D-xylulose 5-phosphate) C15814 (Thiocarbox...,L-Tyrosine Iminoglycine 1-Deoxy-D-xylulose 5-phosphate [ThiS]-COSH [ThiS]-CO-AMP [IscS]-SSH [IscS]-S...
hsa00740,Riboflavin metabolism,,"C15556 (L-3,4-Dihydroxybutan-2-one 4-phosphate) C00199 (D-Ribulose 5-phosphate) C00044 (GTP) C01304 ...","3,4-Dihydroxy-2-butanone 4-phosphate Ribulose 5-phosphate Pentose phosphate pathway RIBOFLAVIN META..."
hsa00750,Vitamin B6 metabolism,,C00118 (D-Glyceraldehyde 3-phosphate) C00117 (D-Ribose 5-phosphate) C07335 (2-Amino-3-oxo-4-phosphon...,D-Glyceraldehyde 3-phosphate D-Ribose 5-phosphate 4.3.3.6 Glycolysis Pentose phosphate pathway 2-Ami...
hsa00760,Nicotinate and nicotinamide metabolism,,"C06178 (1-Methylpyrrolinium) C15523 (2,6-Dihydroxynicotinate) C00022 (Pyruvate) C00163 (Propanoate) ...",Pyruvate metabolism C5-Branched dibasic acid metabolism 4.1.3.32 4.2.1.85 5.3.3.6 5.4.99.4 1.1.1.291...
hsa00770,Pantothenate and CoA biosynthesis,,"C03688 (Apo-[acyl-carrier-protein]) C00022 (Pyruvate) C04272 ((R)-2,3-Dihydroxy-3-methylbutanoate) C...","Apo-[acp] PANTOTHENATE AND CoA BIOSYNTHESIS Alanine, aspartate and glutamate metabolism Propanoate m..."
hsa00780,Biotin metabolism,"Biotin (vitamin H or vitamin B7) is the essential cofactor of biotin-dependent carboxylases, such as...",C02656 (Pimelate) C01063 (Pimeloyl-CoA) C01092 (8-Amino-7-oxononanoate) C01909 (Dethiobiotin) C01037...,"Tropane, piperidine and pyridine alkaloid biosynthesis BIOTIN METABOLISM Lysine degradation Pimelat..."
hsa00785,Lipoic acid metabolism,,C16241 ((R)-Lipoate) C16238 (Lipoyl-AMP) C22160 ([Lipoyl-carrier protein E2]-N6-octanoyl-L-lysine) C...,2.3.1.181 LIPOIC ACID METABOLISM Fatty acid biosynthesis 2.8.1.8 2.3.1.181 ( Biosynthesis ) ( Salv...
hsa00790,Folate biosynthesis,,"C11355 (4-Amino-4-deoxychorismate) C00251 (Chorismate) C00044 (GTP) C04895 (7,8-Dihydroneopterin 3'-...",4-Amino-4-deoxychorismate Chorismate FOLATE BIOSYNTHESIS One carbon pool by folate Purine metabolis...
hsa00830,Retinol metabolism,,C05917 (Iodopsin) C00473 (Retinol) C00376 (Retinal) C02094 (beta-Carotene) C00777 (Retinoate) C02075...,Iodopsin RETINOL METABOLISM all-trans-Retinol (Vitamine A) ADH all-trans-Retinal 1.13.11.63 β...
hsa00860,Porphyrin metabolism,Porphyrins are a group of chemical compounds with the backbone ring structure consisting of four lin...,C05774 (Cobinamide) C16243 (Cobalt-precorrin 5B) C16244 (Cobalt-precorrin 7) C15670 (Heme A) C15672 ...,"Ala, Asp and Glu metabolism 3.1.1.82 Cobinamide Co-precorrin 5B Co-precorrin 7 Heme A Heme O Glycine..."
hsa00900,Terpenoid backbone biosynthesis,"Terpenoids, also known as isoprenoids, are a large class of natural products consisting of isoprene ...","C05859 (ditrans,polycis-Polyprenyl diphosphate) C06081 (Polyprenol) C00022 (Pyruvate) C00024 (Acetyl...","MEP/DOXP pathway Mevalonate pathway Dehydro dolichol-PP ditrans,polycis-Polyprenol Glycolysis TERPEN..."
hsa00910,Nitrogen metabolism,The biological process of the nitrogen cycle is a complex interplay among many microorganisms cataly...,C00058 (Formate) C00488 (Formamide) C00014 (Ammonia) C00192 (Hydroxylamine) C06058 (Nitroalkane) C00...,Formate Formamide 3.5.1.49 Ammonia Hydroxylamine Nitroalkane 1.7.2.6 1.9.6.1 1.7.99.- 1.7.7.2 1.13.1...
hsa00920,Sulfur metabolism,Sulfur is an essential element for life and the metabolism of organic sulfur compounds plays an impo...,C00059 (Sulfate) C00094 (Sulfite) C00283 (Hydrogen sulfide) C00224 (Adenylyl sulfate) C00054 (Adenos...,SULFUR METABOLISM Sulfate Sulfite 1.8.2.1 1.8.3.1 1.8.7.1 1.8.99.5 1.8.1.2 Asr Sulfide 3.1.3.7 2.7....
